iter	MultiClass
0	2.655121776
1	2.330727829
2	2.108687021
3	1.91995349
4	1.748617479
5	1.622512358
6	1.493347731
7	1.384314822
8	1.276393332
9	1.185109275
10	1.10595049
11	1.03466032
12	0.9720867538
13	0.9118944738
14	0.8701208762
15	0.8176363359
16	0.7789048978
17	0.7376443514
18	0.6994243021
19	0.6629587992
20	0.6317793539
21	0.6001607357
22	0.5732037464
23	0.5437268809
24	0.518413466
25	0.4960239165
26	0.475943039
27	0.4552604935
28	0.4360447105
29	0.4193957079
30	0.4029239678
31	0.3884370527
32	0.3766245016
33	0.3617711532
34	0.3513641742
35	0.3377857834
36	0.3269611474
37	0.3172370503
38	0.3076110131
39	0.2965482854
40	0.2869823743
41	0.2776778155
42	0.268225638
43	0.2602453901
44	0.2530693444
45	0.2464351663
46	0.2394554137
47	0.232886367
48	0.2264540437
49	0.2194111108
50	0.212866053
51	0.2065379555
52	0.2019299256
53	0.196788683
54	0.1925528462
55	0.1872788692
56	0.1827142233
57	0.1786426602
58	0.1754707288
59	0.1713502476
60	0.1671778374
61	0.1636406617
62	0.1603377298
63	0.1575682835
64	0.1539164996
65	0.1505629987
66	0.1476323114
67	0.1443297077
68	0.1419372382
69	0.139077078
70	0.13610338
71	0.1336506827
72	0.1312705653
73	0.128330437
74	0.1259998174
75	0.1235982577
76	0.121377153
77	0.1193788598
78	0.1175828027
79	0.1151158884
80	0.113057972
81	0.1110021261
82	0.1090995574
83	0.1077970782
84	0.1060234788
85	0.1043320569
86	0.1026298283
87	0.1010551295
88	0.09975780817
89	0.09746915448
90	0.09585436443
91	0.0941971733
92	0.09236470031
93	0.0908839926
94	0.08903968721
95	0.08738386219
96	0.08602792774
97	0.08467870402
98	0.08353836247
99	0.08227716639
100	0.08166511741
101	0.08052089478
102	0.07914227505
103	0.07789961608
104	0.0767494257
105	0.07589513688
106	0.07468044069
107	0.0739231652
108	0.07283849978
109	0.0717252822
110	0.07065991699
111	0.06956429048
112	0.06869714914
113	0.06795075126
114	0.06718302303
115	0.0663357067
116	0.06573725582
117	0.06488531084
118	0.06422269113
119	0.06349808977
120	0.06283699996
121	0.06212210101
122	0.06157642785
123	0.06090576737
124	0.06023195073
125	0.05972474566
126	0.05917048674
127	0.05841485421
128	0.05775522362
129	0.05717572878
130	0.05646070722
131	0.05580938287
132	0.05522657104
133	0.05474859381
134	0.05423715563
135	0.05368473968
136	0.05309004522
137	0.05265856258
138	0.05234827021
139	0.05199621177
140	0.05136729329
141	0.05068103773
142	0.05018059736
143	0.04949510091
144	0.04911822598
145	0.04859126081
146	0.04804202297
147	0.0475963625
148	0.04728354458
149	0.04682517723
150	0.04649666722
151	0.04619841742
152	0.0458415601
153	0.04553773729
154	0.0451281745
155	0.04478232543
156	0.0444562019
157	0.0439496553
158	0.04352713291
159	0.0432205092
160	0.04278778593
161	0.04240662571
162	0.04202806508
163	0.04176912222
164	0.04150381377
165	0.04134010059
166	0.04101231309
167	0.04068082737
168	0.04038490639
169	0.04009531212
170	0.03988000423
171	0.0395863124
172	0.03916702463
173	0.03883341832
174	0.03844855662
175	0.03818523426
176	0.0379685691
177	0.03771930229
178	0.03752746309
179	0.03722176538
180	0.03698491689
181	0.03679759294
182	0.03655454413
183	0.03636579696
184	0.03620469267
185	0.03597346761
186	0.03577655996
187	0.03550410173
188	0.0352897389
189	0.03499956039
190	0.03477541678
191	0.03458426336
192	0.03439547793
193	0.03419661279
194	0.03397667921
195	0.03384002346
196	0.03365226572
197	0.03340482561
198	0.03316516253
199	0.03299618669
200	0.03278129191
201	0.03252734842
202	0.0323201557
203	0.03215652583
204	0.03189215784
205	0.03176018487
206	0.03159305876
207	0.03141763083
208	0.03127447934
209	0.03114951388
210	0.03099273126
211	0.0307994192
212	0.03060652271
213	0.03044534709
214	0.03030963982
215	0.03014155478
216	0.0299595862
217	0.02977785047
218	0.02955949358
219	0.02937022856
220	0.02913932441
221	0.02897288869
222	0.02885488069
223	0.02863906004
224	0.02854005005
225	0.02841467735
226	0.02826402742
227	0.02809585781
228	0.02799931586
229	0.02784475477
230	0.02768640109
231	0.02757747769
232	0.02746235894
233	0.02726943305
234	0.02709073906
235	0.02701150195
236	0.02686693572
237	0.02677194361
238	0.02665042265
239	0.02653413911
240	0.02640968939
241	0.02622715868
242	0.02612186047
243	0.02601162294
244	0.02588922669
245	0.02571961602
246	0.0256096676
247	0.02546684248
248	0.02534561443
249	0.02525856595
250	0.02515643404
251	0.02504144468
252	0.02491620434
253	0.02482966935
254	0.02469873079
255	0.02458516611
256	0.02447652396
257	0.02433462133
258	0.02422535058
259	0.02414242806
260	0.02399467738
261	0.02387595078
262	0.02379561906
263	0.02371363487
264	0.02360678581
265	0.02352885314
266	0.02345619335
267	0.02335170714
268	0.02325844313
269	0.0231823032
270	0.02307917786
271	0.02297666401
272	0.0228998136
273	0.02277378346
274	0.02261252677
275	0.02251422026
276	0.02242873189
277	0.02232311968
278	0.02224176995
279	0.02215835112
280	0.02210941493
281	0.02202632893
282	0.02192666217
283	0.02184282675
284	0.02173466604
285	0.02166553511
286	0.02156606901
287	0.0214350685
288	0.0213502868
289	0.02128094974
290	0.02113188876
291	0.02106250852
292	0.02096797813
293	0.02089706097
294	0.0207930931
295	0.02072594301
296	0.02066894308
297	0.02059058878
298	0.02051871926
299	0.02042746676
300	0.02036883622
301	0.02029061974
302	0.02017883841
303	0.02012967224
304	0.0200840868
305	0.02002284076
306	0.01993335981
307	0.01986563724
